"publication_title"	"print_identifier"	"online_identifier"	"date_first_issue_online"	"num_first_vol_online"	"num_first_issue_online"	"date_last_issue_online"	"num_last_vol_online"	"num_last_issue_online"	"title_url"	"first_author"	"title_id"	"embargo_info"	"coverage_depth"	"notes"	"publisher_name"	"publication_type"	"date_monograph_published_print"	"date_monograph_published_online"	"monograph_volume"	"monograph_edition"	"first_editor"	"parent_publication_title_id"	"preceding_publication_title_id"	"access_type"
"A Setting For Excellence, Part II: The Story of the Planning and Development of the Ann Arbor Campus of the  University of Michigan"	"9780472130375"	"9780472122905"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9513543"	"Mayer"	"10.3998/mpub.9513543"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Academic Ableism: Disability and Higher Education"	"9780472073719"	"9780472900725"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9708722"	"Dolmage"	"10.3998/mpub.9708722"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"F"
"Ancient Law, Ancient Society"	"9780472130436"	"9780472123025"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9374271"	"Kehoe"	"10.3998/mpub.9374271"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Between Military Rule and Democracy: Regime Consolidation in Greece, Turkey, and Beyond"	"9780472130429"	"9780472122998"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9429498"	"Gürsoy"	"10.3998/mpub.9429498"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Beyond Notation: The Music of Earle Brown"	"9780472130580"	"9780472123322"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9688443"	"Kim"	"10.3998/mpub.9688443"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Bodies and Ruins: Imagining the Bombing of Germany, 1945 to the Present"	"9780472130139"	"9780472122387"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.340367"	"Crew"	"10.3998/mpub.340367"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Borrowing Credibility: Global Banks and Monetary Regimes"	"9780472130467"	"9780472123087"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9210518"	"Grittersová"	"10.3998/mpub.9210518"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Broadway Rhythm: Imaging the City in Song"	"9780472130597"	"9780472123339"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.5639672"	"Symonds"	"10.3998/mpub.5639672"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"Charles Ludlam Lives! Charles Busch, Bradford Louryk, Taylor Mac, and the Queer Legacy of the Ridiculous Theatrical Company"	"9780472073559"	"9780472904051"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.6706550"	"Edgecomb"	"10.3998/mpub.6706550"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"F"
"Childhood Years: A Memoir"	"9780472073672"	"9780472123346"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.9702204"	"Tanizaki Jun'ichiro"	"10.3998/mpub.9702204"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"P"
"China and the West: Music, Representation, and Reception"	"9780472130313"	"9780472900756"	""	""	""	""	""	""	"https://doi.org/10.3998/mpub.5555199"	"Saffle"	"10.3998/mpub.5555199"	""	"fulltext"	""	"University of Michigan Press"	"monograph"	"2017"	"2019-01-10"	""	""	""	""	""	"F"
